ID,Age,Prof,Level,Place,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,GF01,GF02,GF03,GF04,GF05,GF06,GF07,GF08,GF09,GF10,GF11,GF12,UF01,UF02,UF03,UF04,UF05,UF06,UF07,UF08,UF09,UF10,UF11,UF12,UF13,UF14,UF15,UF16,UF17,UF18,UF19,UF20,UF21,UF22,UF23,UF24,UF25,UF26,UF27,UF28,UF29,UF30,UF31,UF32,UF33,UF34,UF35,UF36,ZA01,ZA02,ZA03,ZA04,ZA05,ZA06,ZB01,ZB02,ZB03,ZB04,ZB05,ZB06,ZC01,ZC02,ZC03,ZC04,ZC05,ZC06,ZD01,ZD02,ZD03,ZD04,ZD05,ZD06,ZGF01,ZGF02,ZGF03,ZGF04,ZGF05,ZGF06,ZGF07,ZGF08,ZGF09,ZGF10,ZGF11,ZGF12,ZUF01,ZUF02,ZUF03,ZUF04,ZUF05,ZUF06,ZUF07,ZUF08,ZUF09,ZUF10,ZUF11,ZUF12,ZUF13,ZUF14,ZUF15,ZUF16,ZUF17,ZUF18,ZUF19,ZUF20,ZUF21,ZUF22,ZUF23,ZUF24,ZUF25,ZUF26,ZUF27,ZUF28,ZUF29,ZUF30,ZUF31,ZUF32,ZUF33,ZUF34,ZUF35,ZUF36
JE66,20,10,Int,Jordan,7,5,2,5,5,5,5,4,1,3,3,5,3,2,2,4,3,4,7,4,5,5,4,3,3,5,5,5,5,6,5,6,2,5,5,5,3,3,3,4,6,3,3,5,3,2,2,2,4,2,3,3,2,4,3,2,5,5,4,2,2,5,3,3,3,3,3,3,3,3,4,3,-2.595935206,-1.036145812,1.303538279,-1.036145812,-1.036145812,-1.036145812,-1.036145812,-0.256251115,2.083432977,0.523643582,0.523643582,-1.036145812,0.523643582,1.303538279,1.303538279,-0.256251115,0.523643582,-0.256251115,-2.595935206,-0.256251115,-1.036145812,-1.036145812,-0.256251115,0.523643582,0.523643582,-1.036145812,-1.036145812,-1.036145812,-1.036145812,-1.816040509,-1.036145812,-1.816040509,1.303538279,-1.036145812,-1.036145812,-1.036145812,0.523643582,0.523643582,0.523643582,-0.256251115,-1.816040509,0.523643582,0.523643582,-1.036145812,0.523643582,1.303538279,1.303538279,1.303538279,-0.256251115,1.303538279,0.523643582,0.523643582,1.303538279,-0.256251115,0.523643582,1.303538279,-1.036145812,-1.036145812,-0.256251115,1.303538279,1.303538279,-1.036145812,0.523643582,0.523643582,0.523643582,0.523643582,0.523643582,0.523643582,0.523643582,0.523643582,-0.256251115,0.523643582
JE35,18,11,Int,Jordan,5,3,3,7,3,4,4,4,5,4,4,4,3,4,4,3,4,4,5,4,4,4,5,5,4,5,6,7,5,4,5,5,3,4,4,3,4,7,7,7,4,4,1,7,5,5,4,5,5,3,4,3,5,5,4,4,5,2,5,4,2,7,5,4,5,4,5,2,5,4,4,3,-0.513669256,1.084412873,1.084412873,-2.111751384,1.084412873,0.285371809,0.285371809,0.285371809,-0.513669256,0.285371809,0.285371809,0.285371809,1.084412873,0.285371809,0.285371809,1.084412873,0.285371809,0.285371809,-0.513669256,0.285371809,0.285371809,0.285371809,-0.513669256,-0.513669256,0.285371809,-0.513669256,-1.31271032,-2.111751384,-0.513669256,0.285371809,-0.513669256,-0.513669256,1.084412873,0.285371809,0.285371809,1.084412873,0.285371809,-2.111751384,-2.111751384,-2.111751384,0.285371809,0.285371809,2.682495002,-2.111751384,-0.513669256,-0.513669256,0.285371809,-0.513669256,-0.513669256,1.084412873,0.285371809,1.084412873,-0.513669256,-0.513669256,0.285371809,0.285371809,-0.513669256,1.883453938,-0.513669256,0.285371809,1.883453938,-2.111751384,-0.513669256,0.285371809,-0.513669256,0.285371809,-0.513669256,1.883453938,-0.513669256,0.285371809,0.285371809,1.084412873
JE06,25,12,Int,Jordan,1,7,7,7,7,7,7,7,1,1,1,1,1,1,3,3,1,1,7,1,7,1,1,7,1,1,1,7,1,1,7,3,3,3,1,1,7,1,7,7,7,1,1,7,7,1,1,1,3,3,3,3,3,1,3,3,7,7,7,1,1,7,1,1,1,1,1,1,1,7,7,1,0.858787094,-1.367697965,-1.367697965,-1.367697965,-1.367697965,-1.367697965,-1.367697965,-1.367697965,0.858787094,0.858787094,0.858787094,0.858787094,0.858787094,0.858787094,0.116625408,0.116625408,0.858787094,0.858787094,-1.367697965,0.858787094,-1.367697965,0.858787094,0.858787094,-1.367697965,0.858787094,0.858787094,0.858787094,-1.367697965,0.858787094,0.858787094,-1.367697965,0.116625408,0.116625408,0.116625408,0.858787094,0.858787094,-1.367697965,0.858787094,-1.367697965,-1.367697965,-1.367697965,0.858787094,0.858787094,-1.367697965,-1.367697965,0.858787094,0.858787094,0.858787094,0.116625408,0.116625408,0.116625408,0.116625408,0.116625408,0.858787094,0.116625408,0.116625408,-1.367697965,-1.367697965,-1.367697965,0.858787094,0.858787094,-1.367697965,0.858787094,0.858787094,0.858787094,0.858787094,0.858787094,0.858787094,0.858787094,-1.367697965,-1.367697965,0.858787094
JE18,34,13,Int,Jordan,5,4,4,6,6,5,6,1,6,4,4,5,5,4,2,4,4,5,4,4,7,6,4,7,7,6,4,4,4,4,6,6,6,5,4,6,5,4,6,7,4,4,5,6,3,4,6,6,3,5,4,2,5,3,5,2,4,4,5,4,5,7,5,2,1,5,2,4,4,4,4,5,-0.316289781,0.397912951,0.397912951,-1.030492513,-1.030492513,-0.316289781,-1.030492513,2.540521146,-1.030492513,0.397912951,0.397912951,-0.316289781,-0.316289781,0.397912951,1.826318415,0.397912951,0.397912951,-0.316289781,0.397912951,0.397912951,-1.744695245,-1.030492513,0.397912951,-1.744695245,-1.744695245,-1.030492513,0.397912951,0.397912951,0.397912951,0.397912951,-1.030492513,-1.030492513,-1.030492513,-0.316289781,0.397912951,-1.030492513,-0.316289781,0.397912951,-1.030492513,-1.744695245,0.397912951,0.397912951,-0.316289781,-1.030492513,1.112115683,0.397912951,-1.030492513,-1.030492513,1.112115683,-0.316289781,0.397912951,1.826318415,-0.316289781,1.112115683,-0.316289781,1.826318415,0.397912951,0.397912951,-0.316289781,0.397912951,-0.316289781,-1.744695245,-0.316289781,1.826318415,2.540521146,-0.316289781,1.826318415,0.397912951,0.397912951,0.397912951,0.397912951,-0.316289781
JE42,29,14,Int,Jordan,6,6,4,3,7,5,5,7,5,3,6,7,1,2,3,4,4,7,7,6,5,7,5,4,7,4,2,4,4,5,7,4,6,5,7,5,7,7,4,5,4,6,3,7,4,6,5,4,6,3,3,3,3,2,4,3,4,2,7,4,5,3,2,3,1,5,3,3,1,5,3,7,-0.873249349,-0.873249349,0.280098848,0.856772946,-1.449923447,-0.296575251,-0.296575251,-1.449923447,-0.296575251,0.856772946,-0.873249349,-1.449923447,2.010121143,1.433447044,0.856772946,0.280098848,0.280098848,-1.449923447,-1.449923447,-0.873249349,-0.296575251,-1.449923447,-0.296575251,0.280098848,-1.449923447,0.280098848,1.433447044,0.280098848,0.280098848,-0.296575251,-1.449923447,0.280098848,-0.873249349,-0.296575251,-1.449923447,-0.296575251,-1.449923447,-1.449923447,0.280098848,-0.296575251,0.280098848,-0.873249349,0.856772946,-1.449923447,0.280098848,-0.873249349,-0.296575251,0.280098848,-0.873249349,0.856772946,0.856772946,0.856772946,0.856772946,1.433447044,0.280098848,0.856772946,0.280098848,1.433447044,-1.449923447,0.280098848,-0.296575251,0.856772946,1.433447044,0.856772946,2.010121143,-0.296575251,0.856772946,0.856772946,2.010121143,-0.296575251,0.856772946,-1.449923447
JE37,24,15,Int,Jordan,7,3,5,4,5,4,3,4,4,3,6,5,5,5,3,5,4,5,6,5,4,4,5,7,4,3,4,4,5,5,5,5,6,4,5,6,4,7,3,5,4,5,4,6,7,6,4,5,5,3,4,4,2,5,4,5,5,4,5,7,2,4,4,4,5,2,5,2,3,3,2,7,-2.045460933,1.190296475,-0.427582229,0.381357123,-0.427582229,0.381357123,1.190296475,0.381357123,0.381357123,1.190296475,-1.236521581,-0.427582229,-0.427582229,-0.427582229,1.190296475,-0.427582229,0.381357123,-0.427582229,-1.236521581,-0.427582229,0.381357123,0.381357123,-0.427582229,-2.045460933,0.381357123,1.190296475,0.381357123,0.381357123,-0.427582229,-0.427582229,-0.427582229,-0.427582229,-1.236521581,0.381357123,-0.427582229,-1.236521581,0.381357123,-2.045460933,1.190296475,-0.427582229,0.381357123,-0.427582229,0.381357123,-1.236521581,-2.045460933,-1.236521581,0.381357123,-0.427582229,-0.427582229,1.190296475,0.381357123,0.381357123,1.999235827,-0.427582229,0.381357123,-0.427582229,-0.427582229,0.381357123,-0.427582229,-2.045460933,1.999235827,0.381357123,0.381357123,0.381357123,-0.427582229,1.999235827,-0.427582229,1.999235827,1.190296475,1.190296475,1.999235827,-2.045460933
JE10,25,17,Int,Jordan,3,6,2,4,3,4,3,6,4,5,2,5,2,3,1,1,3,2,6,4,6,4,5,5,3,2,2,5,2,2,2,5,2,4,3,3,2,3,2,2,5,2,2,3,3,5,2,4,4,6,3,2,2,3,2,2,2,2,3,4,7,4,1,4,3,1,3,3,2,2,2,2,0.091632727,-2.046464235,0.804331714,-0.62106626,0.091632727,-0.62106626,0.091632727,-2.046464235,-0.62106626,-1.333765248,0.804331714,-1.333765248,0.804331714,0.091632727,1.517030701,1.517030701,0.091632727,0.804331714,-2.046464235,-0.62106626,-2.046464235,-0.62106626,-1.333765248,-1.333765248,0.091632727,0.804331714,0.804331714,-1.333765248,0.804331714,0.804331714,0.804331714,-1.333765248,0.804331714,-0.62106626,0.091632727,0.091632727,0.804331714,0.091632727,0.804331714,0.804331714,-1.333765248,0.804331714,0.804331714,0.091632727,0.091632727,-1.333765248,0.804331714,-0.62106626,-0.62106626,-2.046464235,0.091632727,0.804331714,0.804331714,0.091632727,0.804331714,0.804331714,0.804331714,0.804331714,0.091632727,-0.62106626,-2.759163222,-0.62106626,1.517030701,-0.62106626,0.091632727,1.517030701,0.091632727,0.091632727,0.804331714,0.804331714,0.804331714,0.804331714
JE30,24,17,Int,Jordan,3,5,3,3,4,5,5,4,4,3,6,5,2,3,3,4,4,2,3,3,3,7,4,3,5,4,5,2,2,2,4,4,4,4,4,4,5,2,4,6,4,6,4,6,4,3,4,4,5,4,4,2,3,4,3,4,5,3,4,2,2,4,4,5,2,2,4,5,5,2,2,4,0.639005392,-1.048933379,0.639005392,0.639005392,-0.204963994,-1.048933379,-1.048933379,-0.204963994,-0.204963994,0.639005392,-1.892902765,-1.048933379,1.482974778,0.639005392,0.639005392,-0.204963994,-0.204963994,1.482974778,0.639005392,0.639005392,0.639005392,-2.73687215,-0.204963994,0.639005392,-1.048933379,-0.204963994,-1.048933379,1.482974778,1.482974778,1.482974778,-0.204963994,-0.204963994,-0.204963994,-0.204963994,-0.204963994,-0.204963994,-1.048933379,1.482974778,-0.204963994,-1.892902765,-0.204963994,-1.892902765,-0.204963994,-1.892902765,-0.204963994,0.639005392,-0.204963994,-0.204963994,-1.048933379,-0.204963994,-0.204963994,1.482974778,0.639005392,-0.204963994,0.639005392,-0.204963994,-1.048933379,0.639005392,-0.204963994,1.482974778,1.482974778,-0.204963994,-0.204963994,-1.048933379,1.482974778,1.482974778,-0.204963994,-1.048933379,-1.048933379,1.482974778,1.482974778,-0.204963994
JE56,20,17,Int,Jordan,7,4,4,5,4,4,5,3,4,6,4,5,4,2,2,3,4,7,6,4,6,5,6,5,2,6,5,5,4,7,5,6,4,7,6,4,7,5,7,4,4,6,4,7,5,7,6,5,4,5,4,2,5,5,5,3,5,1,3,3,3,3,2,3,3,5,4,5,3,5,2,3,-1.73996239,0.312802227,0.312802227,-0.371452645,0.312802227,0.312802227,-0.371452645,0.9970571,0.312802227,-1.055707518,0.312802227,-0.371452645,0.312802227,1.681311972,1.681311972,0.9970571,0.312802227,-1.73996239,-1.055707518,0.312802227,-1.055707518,-0.371452645,-1.055707518,-0.371452645,1.681311972,-1.055707518,-0.371452645,-0.371452645,0.312802227,-1.73996239,-0.371452645,-1.055707518,0.312802227,-1.73996239,-1.055707518,0.312802227,-1.73996239,-0.371452645,-1.73996239,0.312802227,0.312802227,-1.055707518,0.312802227,-1.73996239,-0.371452645,-1.73996239,-1.055707518,-0.371452645,0.312802227,-0.371452645,0.312802227,1.681311972,-0.371452645,-0.371452645,-0.371452645,0.9970571,-0.371452645,2.365566845,0.9970571,0.9970571,0.9970571,0.9970571,1.681311972,0.9970571,0.9970571,-0.371452645,0.312802227,-0.371452645,0.9970571,-0.371452645,1.681311972,0.9970571
JE34,20,18,Int,Jordan,4,3,7,5,5,5,6,7,4,4,4,7,5,4,4,1,5,5,7,7,4,7,7,4,7,4,7,5,5,5,7,7,4,7,2,4,3,5,5,4,5,4,7,3,3,7,5,5,3,1,3,3,2,2,3,1,1,4,1,1,4,5,5,5,5,5,2,3,5,3,3,1,0.195584831,0.743222358,-1.447327751,-0.352052696,-0.352052696,-0.352052696,-0.899690223,-1.447327751,0.195584831,0.195584831,0.195584831,-1.447327751,-0.352052696,0.195584831,0.195584831,1.838497413,-0.352052696,-0.352052696,-1.447327751,-1.447327751,0.195584831,-1.447327751,-1.447327751,0.195584831,-1.447327751,0.195584831,-1.447327751,-0.352052696,-0.352052696,-0.352052696,-1.447327751,-1.447327751,0.195584831,-1.447327751,1.290859886,0.195584831,0.743222358,-0.352052696,-0.352052696,0.195584831,-0.352052696,0.195584831,-1.447327751,0.743222358,0.743222358,-1.447327751,-0.352052696,-0.352052696,0.743222358,1.838497413,0.743222358,0.743222358,1.290859886,1.290859886,0.743222358,1.838497413,1.838497413,0.195584831,1.838497413,1.838497413,0.195584831,-0.352052696,-0.352052696,-0.352052696,-0.352052696,-0.352052696,1.290859886,0.743222358,-0.352052696,0.743222358,0.743222358,1.838497413
JE47,19,18,Int,Jordan,6,6,5,4,5,6,6,4,4,3,6,6,4,4,4,5,3,3,3,5,4,5,5,4,6,7,6,7,7,5,6,6,6,6,5,5,7,7,7,6,7,6,6,5,7,7,6,6,4,3,5,5,3,2,3,2,2,2,5,1,5,5,3,2,4,4,2,2,4,2,5,4,-0.841356817,-0.841356817,-0.214814506,0.411727804,-0.214814506,-0.841356817,-0.841356817,0.411727804,0.411727804,1.038270114,-0.841356817,-0.841356817,0.411727804,0.411727804,0.411727804,-0.214814506,1.038270114,1.038270114,1.038270114,-0.214814506,0.411727804,-0.214814506,-0.214814506,0.411727804,-0.841356817,-1.467899127,-0.841356817,-1.467899127,-1.467899127,-0.214814506,-0.841356817,-0.841356817,-0.841356817,-0.841356817,-0.214814506,-0.214814506,-1.467899127,-1.467899127,-1.467899127,-0.841356817,-1.467899127,-0.841356817,-0.841356817,-0.214814506,-1.467899127,-1.467899127,-0.841356817,-0.841356817,0.411727804,1.038270114,-0.214814506,-0.214814506,1.038270114,1.664812424,1.038270114,1.664812424,1.664812424,1.664812424,-0.214814506,2.291354735,-0.214814506,-0.214814506,1.038270114,1.664812424,0.411727804,0.411727804,1.664812424,1.664812424,0.411727804,1.664812424,-0.214814506,0.411727804
JE61,19,19,Int,Jordan,2,5,6,4,6,5,4,5,4,4,3,4,2,2,4,5,4,5,5,2,2,5,4,4,3,3,2,4,4,5,5,7,2,2,3,1,3,5,2,2,3,2,5,6,7,7,4,6,4,6,5,4,4,3,3,2,3,5,3,4,5,4,2,1,2,2,3,2,3,2,4,2,1.153926558,-0.865444919,-1.538568745,-0.192321093,-1.538568745,-0.865444919,-0.192321093,-0.865444919,-0.192321093,-0.192321093,0.480802733,-0.192321093,1.153926558,1.153926558,-0.192321093,-0.865444919,-0.192321093,-0.865444919,-0.865444919,1.153926558,1.153926558,-0.865444919,-0.192321093,-0.192321093,0.480802733,0.480802733,1.153926558,-0.192321093,-0.192321093,-0.865444919,-0.865444919,-2.21169257,1.153926558,1.153926558,0.480802733,1.827050384,0.480802733,-0.865444919,1.153926558,1.153926558,0.480802733,1.153926558,-0.865444919,-1.538568745,-2.21169257,-2.21169257,-0.192321093,-1.538568745,-0.192321093,-1.538568745,-0.865444919,-0.192321093,-0.192321093,0.480802733,0.480802733,1.153926558,0.480802733,-0.865444919,0.480802733,-0.192321093,-0.865444919,-0.192321093,1.153926558,1.827050384,1.153926558,1.153926558,0.480802733,1.153926558,0.480802733,1.153926558,-0.192321093,1.153926558
JE09,20,20,Int,Jordan,6,7,6,7,3,7,5,7,7,7,5,7,5,4,4,5,4,7,3,2,4,7,5,5,7,7,5,4,4,7,7,5,7,7,6,6,4,6,4,6,7,7,7,7,3,2,3,5,3,5,2,3,2,2,4,3,1,1,1,4,1,5,3,1,4,1,3,2,5,4,3,3,-0.764686709,-1.274477848,-0.764686709,-1.274477848,0.764686709,-1.274477848,-0.25489557,-1.274477848,-1.274477848,-1.274477848,-0.25489557,-1.274477848,-0.25489557,0.25489557,0.25489557,-0.25489557,0.25489557,-1.274477848,0.764686709,1.274477848,0.25489557,-1.274477848,-0.25489557,-0.25489557,-1.274477848,-1.274477848,-0.25489557,0.25489557,0.25489557,-1.274477848,-1.274477848,-0.25489557,-1.274477848,-1.274477848,-0.764686709,-0.764686709,0.25489557,-0.764686709,0.25489557,-0.764686709,-1.274477848,-1.274477848,-1.274477848,-1.274477848,0.764686709,1.274477848,0.764686709,-0.25489557,0.764686709,-0.25489557,1.274477848,0.764686709,1.274477848,1.274477848,0.25489557,0.764686709,1.784268987,1.784268987,1.784268987,0.25489557,1.784268987,-0.25489557,0.764686709,1.784268987,0.25489557,1.784268987,0.764686709,1.274477848,-0.25489557,0.25489557,0.764686709,0.764686709
JE48,18,20,Int,Jordan,7,7,7,7,7,7,7,5,7,1,7,7,1,1,1,1,3,2,7,5,7,4,5,5,5,1,7,1,1,5,1,7,5,5,1,5,1,4,7,7,7,7,1,7,7,7,5,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,2,1,1,1,1,4,1,1,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-1.364471581,-0.591086879,-1.364471581,0.955682524,-1.364471581,-1.364471581,0.955682524,0.955682524,0.955682524,0.955682524,0.182297823,0.568990174,-1.364471581,-0.591086879,-1.364471581,-0.204394528,-0.591086879,-0.591086879,-0.591086879,0.955682524,-1.364471581,0.955682524,0.955682524,-0.591086879,0.955682524,-1.364471581,-0.591086879,-0.591086879,0.955682524,-0.591086879,0.955682524,-0.204394528,-1.364471581,-1.364471581,-1.364471581,-1.364471581,0.955682524,-1.364471581,-1.364471581,-1.364471581,-0.591086879,0.182297823,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.182297823,0.955682524,0.955682524,0.955682524,0.955682524,0.955682524,0.182297823,0.955682524,0.568990174,0.955682524,0.955682524,0.955682524,0.955682524,-0.204394528,0.955682524,0.955682524
JE67,18,20,Int,Jordan,2,2,2,4,4,5,5,4,4,5,3,5,2,1,1,1,3,2,5,2,5,5,6,5,2,3,2,2,5,2,2,2,5,2,1,2,3,3,2,2,3,2,1,2,3,2,2,1,2,3,2,1,2,2,2,2,2,2,1,2,2,1,2,3,3,2,2,2,2,2,3,2,0.488286438,0.488286438,0.488286438,-1.065352228,-1.065352228,-1.842171561,-1.842171561,-1.065352228,-1.065352228,-1.842171561,-0.288532895,-1.842171561,0.488286438,1.265105771,1.265105771,1.265105771,-0.288532895,0.488286438,-1.842171561,0.488286438,-1.842171561,-1.842171561,-2.618990894,-1.842171561,0.488286438,-0.288532895,0.488286438,0.488286438,-1.842171561,0.488286438,0.488286438,0.488286438,-1.842171561,0.488286438,1.265105771,0.488286438,-0.288532895,-0.288532895,0.488286438,0.488286438,-0.288532895,0.488286438,1.265105771,0.488286438,-0.288532895,0.488286438,0.488286438,1.265105771,0.488286438,-0.288532895,0.488286438,1.265105771,0.488286438,0.488286438,0.488286438,0.488286438,0.488286438,0.488286438,1.265105771,0.488286438,0.488286438,1.265105771,0.488286438,-0.288532895,-0.288532895,0.488286438,0.488286438,0.488286438,0.488286438,0.488286438,-0.288532895,0.488286438
JE58,18,21,Int,Jordan,7,7,7,7,1,7,1,1,7,2,5,2,5,2,3,4,4,1,5,4,5,7,5,7,7,3,1,6,1,7,1,4,3,1,3,7,7,7,7,6,7,1,7,1,7,6,2,3,3,3,3,3,3,2,3,1,1,1,2,1,1,5,1,5,1,1,1,1,1,4,2,3,-1.488232192,-1.488232192,-1.488232192,-1.488232192,1.105367479,-1.488232192,1.105367479,1.105367479,-1.488232192,0.673100867,-0.623698969,0.673100867,-0.623698969,0.673100867,0.240834255,-0.191432357,-0.191432357,1.105367479,-0.623698969,-0.191432357,-0.623698969,-1.488232192,-0.623698969,-1.488232192,-1.488232192,0.240834255,1.105367479,-1.055965581,1.105367479,-1.488232192,1.105367479,-0.191432357,0.240834255,1.105367479,0.240834255,-1.488232192,-1.488232192,-1.488232192,-1.488232192,-1.055965581,-1.488232192,1.105367479,-1.488232192,1.105367479,-1.488232192,-1.055965581,0.673100867,0.240834255,0.240834255,0.240834255,0.240834255,0.240834255,0.240834255,0.673100867,0.240834255,1.105367479,1.105367479,1.105367479,0.673100867,1.105367479,1.105367479,-0.623698969,1.105367479,-0.623698969,1.105367479,1.105367479,1.105367479,1.105367479,1.105367479,-0.191432357,0.673100867,0.240834255
